year,race,position,number,driver,car,time,laps
2005,Bahrain,4,8, Heidfeld,Williams BMW,3:03.217,6
2005,Bahrain,5,7, Webber,Williams BMW,3:03.262,6
2005,Bahrain,6,17, Schumacher,Toyota,3:03.271,6
2005,Bahrain,7,15, Klien,RBR Cosworth,3:03.369,6
2005,Bahrain,8,10, de la Rosa,McLaren Mercedes,3:03.373,6
2005,Bahrain,9,9, Räikkönen,McLaren Mercedes,3:03.524,6
2005,Bahrain,10,6, Fisichella,Renault,3:03.765,6
2005,Bahrain,11,3, Button,BAR Honda,3:04.348,6
2005,Bahrain,12,12, Massa,Sauber Petronas,3:05.202,6
2005,Bahrain,13,4, Sato,BAR Honda,3:05.563,6
2005,Bahrain,14,14, Coulthard,RBR Cosworth,3:05.844,6
2005,Bahrain,15,2, Barrichello,Ferrari,3:07.693,6
2005,Bahrain,16,11, Villeneuve,Sauber Petronas,3:07.983,6
2005,Bahrain,17,18, Monteiro,Jordan Toyota,3:09.428,6
2005,Bahrain,18,19, Karthikeyan,Jordan Toyota,3:10.143,6
2005,Bahrain,19,21, Albers,Minardi Cosworth,3:10.422,6
2005,Bahrain,20,20, Friesacher,Minardi Cosworth,3:11.261,6
2005,San Marino,1,9, Räikkönen,McLaren Mercedes,2:42.880,6
2005,San Marino,2,5, Alonso,Renault,2:43.441,6
2005,San Marino,3,3, Button,BAR Honda,2:44.105,6
2005,San Marino,4,7, Webber,Williams BMW,2:44.511,6
2005,San Marino,5,16, Trulli,Toyota,2:44.518,6
2005,San Marino,6,4, Sato,BAR Honda,2:44.658,6
2005,San Marino,7,10, Wurz,McLaren Mercedes,2:44.689,6
2005,San Marino,8,12, Massa,Sauber Petronas,2:44.930,6
2005,San Marino,9,8, Heidfeld,Williams BMW,2:45.196,6
2005,San Marino,10,2, Barrichello,Ferrari,2:45.243,6
2005,San Marino,11,17, Schumacher,Toyota,2:45.416,6
2005,San Marino,12,11, Villeneuve,Sauber Petronas,2:46.259,6
2005,San Marino,13,6, Fisichella,Renault,2:46.710,6
2005,San Marino,14,1, Schumacher,Ferrari,2:47.244,6
2005,San Marino,15,14, Coulthard,RBR Cosworth,2:48.070,6
2005,San Marino,16,15, Liuzzi,RBR Cosworth,2:48.155,6
2005,San Marino,17,19, Karthikeyan,Jordan Toyota,2:52.099,6
2005,San Marino,18,18, Monteiro,Jordan Toyota,2:54.252,6
2005,San Marino,19,20, Friesacher,Minardi Cosworth,2:57.048,6
2005,San Marino,20,21, Albers,Minardi Cosworth,1:25.921,5
2005,Spain,1,9, Räikkönen,McLaren Mercedes,2:31.421,6
2005,Spain,2,7, Webber,Williams BMW,2:31.668,6
2005,Spain,3,5, Alonso,Renault,2:31.691,6
2005,Spain,4,17, Schumacher,Toyota,2:31.917,6
2005,Spain,5,16, Trulli,Toyota,2:31.995,6
2005,Spain,6,6, Fisichella,Renault,2:32.830,6
2005,Spain,7,10, Montoya,McLaren Mercedes,2:33.472,6
2005,Spain,8,1, Schumacher,Ferrari,2:33.551,6
2005,Spain,9,14, Coulthard,RBR Cosworth,2:34.168,6
2005,Spain,10,12, Massa,Sauber Petronas,2:34.224,6
2005,Spain,11,15, Liuzzi,RBR Cosworth,2:35.302,6
2005,Spain,12,11, Villeneuve,Sauber Petronas,2:36.480,6
2005,Spain,13,19, Karthikeyan,Jordan Toyota,2:39.268,8
2005,Spain,14,18, Monteiro,Jordan Toyota,2:39.943,6
2005,Spain,15,21, Albers,Minardi Cosworth,2:41.141,6
2005,Spain,16,20, Friesacher,Minardi Cosworth,2:42.759,6
2005,Spain,17,8, Heidfeld,Williams BMW,1:15.038,3
2005,Spain,18,2, Barrichello,Ferrari,1:15.746,3
2005,Monaco,1,9, Räikkönen,McLaren Mercedes,2:30.323,6
2005,Monaco,2,5, Alonso,Renault,2:30.406,6
2005,Monaco,3,7, Webber,Williams BMW,2:31.656,6
2005,Monaco,4,6, Fisichella,Renault,2:32.100,6
2005,Monaco,5,16, Trulli,Toyota,2:32.590,6
2005,Monaco,6,8, Heidfeld,Williams BMW,2:32.883,6
2005,Monaco,7,14, Coulthard,RBR Cosworth,2:33.867,6
2005,Monaco,8,1, Schumacher,Ferrari,2:34.736,6
2005,Monaco,9,11, Villeneuve,Sauber Petronas,2:34.936,6
2005,Monaco,10,2, Barrichello,Ferrari,2:34.983,6
2005,Monaco,11,12, Massa,Sauber Petronas,2:35.120,6
2005,Monaco,12,15, Liuzzi,RBR Cosworth,2:37.152,6
2005,Monaco,13,20, Friesacher,Minardi Cosworth,2:40.810,6
2005,Monaco,14,21, Albers,Minardi Cosworth,2:42.206,6
2005,Monaco,15,18, Monteiro,Jordan Toyota,2:43.078,6
2005,Monaco,16,19, Karthikeyan,Jordan Toyota,2:43.442,6
2005,Monaco,17,17, Schumacher,Toyota,,3
2005,Monaco,18,10, Montoya,McLaren Mercedes,1:14.858,3
2004,Australia,1,1, Schumacher,Ferrari,1:24.408,6
2004,Australia,2,2, Barrichello,Ferrari,1:24.482,6
2004,Australia,3,3, Montoya,Williams BMW,1:24.998,6
2004,Australia,4,9, Button,BAR Honda,1:24.998,6
2004,Australia,5,8, Alonso,Renault,1:25.699,6
2004,Australia,6,14, Webber,Jaguar Cosworth,1:25.805,6
2004,Australia,7,10, Sato,BAR Honda,1:25.851,6
2004,Australia,8,4, Schumacher,Williams BMW,1:25.925,6
2004,Australia,9,7, Trulli,Renault,1:26.290,6
2004,Australia,10,6, Räikkönen,McLaren Mercedes,1:26.297,6
2004,Australia,11,12, Massa,Sauber Petronas,1:27.065,6
2004,Australia,12,5, Coulthard,McLaren Mercedes,1:27.294,6
2004,Australia,13,16, da Matta,Toyota,1:27.823,6
2004,Australia,14,11, Fisichella,Sauber Petronas,1:27.845,6
2004,Australia,15,18, Heidfeld,Jordan Ford,1:28.178,6
2004,Australia,16,19, Pantano,Jordan Ford,1:30.140,6
2004,Australia,17,21, Baumgartner,Minardi Cosworth,1:30.681,6
2004,Australia,18,17, Panis,Toyota,1:27.253,3
2004,Australia,19,15, Klien,Jaguar Cosworth,1:27.258,4
2004,Australia,20,20, Bruni,Minardi Cosworth,1:30.912,3
2004,Malaysia,1,1, Schumacher,Ferrari,1:33.074,6
2004,Malaysia,2,14, Webber,Jaguar Cosworth,1:33.715,6
2004,Malaysia,3,2, Barrichello,Ferrari,1:33.756,6
2004,Malaysia,4,3, Montoya,Williams BMW,1:34.054,7
2004,Malaysia,5,6, Räikkönen,McLaren Mercedes,1:34.164,6
2004,Malaysia,6,9, Button,BAR Honda,1:34.221,6
2004,Malaysia,7,4, Schumacher,Williams BMW,1:34.235,6
2004,Malaysia,8,7, Trulli,Renault,1:34.413,6
2004,Malaysia,9,5, Coulthard,McLaren Mercedes,1:34.602,6
2004,Malaysia,10,16, da Matta,Toyota,1:34.917,6
2004,Malaysia,11,12, Massa,Sauber Petronas,1:35.039,6
2004,Malaysia,12,11, Fisichella,Sauber Petronas,1:35.061,6
2004,Malaysia,13,15, Klien,Jaguar Cosworth,1:35.158,6
2004,Malaysia,14,17, Panis,Toyota,1:35.617,6
2004,Malaysia,15,18, Heidfeld,Jordan Ford,1:36.569,6
2004,Malaysia,16,20, Bruni,Minardi Cosworth,1:38.577,6
2004,Malaysia,17,21, Baumgartner,Minardi Cosworth,1:39.272,6
2004,Malaysia,18,19, Pantano,Jordan Ford,1:39.902,3
2004,Malaysia,19,8, Alonso,Renault,1:33.193,5
2004,Malaysia,20,10, Sato,BAR Honda,1:34.971,5
2004,Bahrain,1,1, Schumacher,Ferrari,1:30.139,6
2004,Bahrain,2,2, Barrichello,Ferrari,1:30.530,6
2004,Bahrain,3,3, Montoya,Williams BMW,1:30.581,6
2004,Bahrain,4,4, Schumacher,Williams BMW,1:30.633,6
2004,Bahrain,5,10, Sato,BAR Honda,1:30.827,6
2004,Bahrain,6,9, Button,BAR Honda,1:30.856,6
2004,Bahrain,7,7, Trulli,Renault,1:30.971,6
2004,Bahrain,8,17, Panis,Toyota,1:31.686,6
2004,Bahrain,9,16, da Matta,Toyota,1:31.717,6
2004,Bahrain,10,5, Coulthard,McLaren Mercedes,1:31.719,6
2004,Bahrain,11,11, Fisichella,Sauber Petronas,1:31.731,6
2004,Bahrain,12,15, Klien,Jaguar Cosworth,1:32.332,6
2004,Bahrain,13,12, Massa,Sauber Petronas,1:32.536,6
2004,Bahrain,14,14, Webber,Jaguar Cosworth,1:32.625,6
2004,Bahrain,15,18, Heidfeld,Jordan Ford,1:33.506,6
2004,Bahrain,16,19, Pantano,Jordan Ford,1:34.105,6
2004,Bahrain,17,8, Alonso,Renault,1:34.130,6
2004,Bahrain,18,20, Bruni,Minardi Cosworth,1:34.584,6
2004,Bahrain,19,21, Baumgartner,Minardi Cosworth,1:35.787,6
2004,Bahrain,20,6, Räikkönen,McLaren Mercedes,1:30.353,4
2004,San Marino,1,9, Button,BAR Honda,1:19.753,6
2004,San Marino,2,1, Schumacher,Ferrari,1:20.011,6
2004,San Marino,3,3, Montoya,Williams BMW,1:20.212,6
2004,San Marino,4,2, Barrichello,Ferrari,1:20.451,6
2004,San Marino,5,4, Schumacher,Williams BMW,1:20.538,6
2004,San Marino,6,8, Alonso,Renault,1:20.895,6
2004,San Marino,7,10, Sato,BAR Honda,1:20.913,6
2004,San Marino,8,14, Webber,Jaguar Cosworth,1:20.921,6
2004,San Marino,9,7, Trulli,Renault,1:21.034,6
2004,San Marino,10,16, da Matta,Toyota,1:21.087,6
2004,San Marino,11,5, Coulthard,McLaren Mercedes,1:21.091,6
2004,San Marino,12,12, Massa,Sauber Petronas,1:21.532,6
2004,San Marino,13,17, Panis,Toyota,1:21.558,6
2004,San Marino,14,15, Klien,Jaguar Cosworth,1:21.949,6
2004,San Marino,15,19, Pantano,Jordan Ford,1:23.352,6
2004,San Marino,16,18, Heidfeld,Jordan Ford,1:23.488,6
2004,San Marino,17,20, Bruni,Minardi Cosworth,1:26.899,6
2004,San Marino,18,21, Baumgartner,Minardi Cosworth,1:46.299,6
2004,San Marino,19,11, Fisichella,Sauber Petronas,1:20.716,3
2004,San Marino,20,6, Räikkönen,McLaren Mercedes,1:21.181,4
2004,Spain,1,1, Schumacher,Ferrari,1:15.022,6
2004,Spain,2,3, Montoya,Williams BMW,1:15.639,6
2004,Spain,3,10, Sato,BAR Honda,1:15.809,6
2004,Spain,4,7, Trulli,Renault,1:16.144,6
2004,Spain,5,2, Barrichello,Ferrari,1:16.272,6
2004,Spain,6,4, Schumacher,Williams BMW,1:16.293,6
2004,Spain,7,17, Panis,Toyota,1:16.313,6
2004,Spain,8,8, Alonso,Renault,1:16.422,6
2004,Spain,9,14, Webber,Jaguar Cosworth,1:16.514,6
2004,Spain,10,5, Coulthard,McLaren Mercedes,1:16.636,6
2004,Spain,11,16, da Matta,Toyota,1:17.038,6
2004,Spain,12,11, Fisichella,Sauber Petronas,1:17.444,6
2004,Spain,13,6, Räikkönen,McLaren Mercedes,1:17.445,6
2004,Spain,14,9, Button,BAR Honda,1:17.575,6
2004,Spain,15,18, Heidfeld,Jordan Ford,1:17.802,6
2004,Spain,16,15, Klien,Jaguar Cosworth,1:17.812,6
2004,Spain,17,12, Massa,Sauber Petronas,1:17.866,6
2004,Spain,18,20, Bruni,Minardi Cosworth,1:19.817,6
2004,Spain,19,19, Pantano,Jordan Ford,1:20.607,6
2004,Spain,20,21, Baumgartner,Minardi Cosworth,1:21.470,6
2004,Monaco,1,7, Trulli,Renault,1:13.985,6
2004,Monaco,2,4, Schumacher,Williams BMW,1:14.345,6
2004,Monaco,3,9, Button,BAR Honda,1:14.396,6
2004,Monaco,4,8, Alonso,Renault,1:14.408,6
2004,Monaco,5,1, Schumacher,Ferrari,1:14.516,6
2004,Monaco,6,6, Räikkönen,McLaren Mercedes,1:14.592,6
2004,Monaco,7,2, Barrichello,Ferrari,1:14.716,6
2004,Monaco,8,10, Sato,BAR Honda,1:14.827,6
2004,Monaco,9,5, Coulthard,McLaren Mercedes,1:14.951,6
2004,Monaco,10,3, Montoya,Williams BMW,1:15.039,6
2004,Monaco,11,11, Fisichella,Sauber Petronas,1:15.352,6
2004,Monaco,12,14, Webber,Jaguar Cosworth,1:15.725,6
2004,Monaco,13,17, Panis,Toyota,1:15.859,6
2004,Monaco,14,15, Klien,Jaguar Cosworth,1:15.919,6
2004,Monaco,15,16, da Matta,Toyota,1:16.169,6
2004,Monaco,16,12, Massa,Sauber Petronas,1:16.248,6
2004,Monaco,17,18, Heidfeld,Jordan Ford,1:16.488,6
2004,Monaco,18,19, Pantano,Jordan Ford,1:17.443,6
2004,Monaco,19,21, Baumgartner,Minardi Cosworth,1:20.060,6
2004,Monaco,20,20, Bruni,Minardi Cosworth,1:20.115,6
2004,Europe,1,1, Schumacher,Ferrari,1:28.351,6
2004,Europe,2,10, Sato,BAR Honda,1:28.986,6
2004,Europe,3,7, Trulli,Renault,1:29.135,6
2004,Europe,4,6, Räikkönen,McLaren Mercedes,1:29.137,6
2004,Europe,5,9, Button,BAR Honda,1:29.245,6
2004,Europe,6,8, Alonso,Renault,1:29.313,6
2004,Europe,7,2, Barrichello,Ferrari,1:29.353,6
2004,Europe,8,3, Montoya,Williams BMW,1:29.354,6
2004,Europe,9,4, Schumacher,Williams BMW,1:29.459,6
2004,Europe,10,17, Panis,Toyota,1:29.697,6
2004,Europe,11,16, da Matta,Toyota,1:29.706,6
2004,Europe,12,15, Klien,Jaguar Cosworth,1:31.431,7
2004,Europe,13,18, Heidfeld,Jordan Ford,1:31.604,6
2004,Europe,14,14, Webber,Jaguar Cosworth,1:31.797,6
2004,Europe,15,19, Pantano,Jordan Ford,1:31.979,6
2004,Europe,16,12, Massa,Sauber Petronas,1:31.982,6
2004,Europe,17,21, Baumgartner,Minardi Cosworth,1:34.398,6
2004,Europe,18,5, Coulthard,McLaren Mercedes,1:28.717,3
2004,Europe,19,11, Fisichella,Sauber Petronas,1:29.327,5
2004,Europe,20,20, Bruni,Minardi Cosworth,1:33.077,3
2004,Canada,1,4, Schumacher,Williams BMW,1:12.275,6
2004,Canada,2,9, Button,BAR Honda,1:12.341,6
2004,Canada,3,7, Trulli,Renault,1:13.023,6
2004,Canada,4,3, Montoya,Williams BMW,1:13.072,6
2004,Canada,5,8, Alonso,Renault,1:13.308,6
2004,Canada,6,1, Schumacher,Ferrari,1:13.355,6
2004,Canada,7,2, Barrichello,Ferrari,1:13.562,6
2004,Canada,8,6, Räikkönen,McLaren Mercedes,1:13.595,6
2004,Canada,9,5, Coulthard,McLaren Mercedes,1:13.681,6
2004,Canada,10,15, Klien,Jaguar Cosworth,1:14.532,6
2004,Canada,11,11, Fisichella,Sauber Petronas,1:14.674,6
2004,Canada,12,16, da Matta,Toyota,1:14.851,6
2004,Canada,13,17, Panis,Toyota,1:14.891,6
2004,Canada,14,14, Webber,Jaguar Cosworth,1:15.148,6
2004,Canada,15,18, Heidfeld,Jordan Ford,1:15.321,6
2004,Canada,16,19, Glock,Jordan Ford,1:16.323,6
2004,Canada,17,10, Sato,BAR Honda,1:17.004,6
2004,Canada,18,21, Baumgartner,Minardi Cosworth,1:17.064,6
2004,Canada,19,12, Massa,Sauber Petronas,1:14.392,4
2004,Canada,20,20, Bruni,Minardi Cosworth,,2
2004,United States,1,2, Barrichello,Ferrari,1:10.223,6
2004,United States,2,1, Schumacher,Ferrari,1:10.400,6
2004,United States,3,10, Sato,BAR Honda,1:10.601,6
2004,United States,4,9, Button,BAR Honda,1:10.820,6
2004,United States,5,3, Montoya,Williams BMW,1:11.062,6
2004,United States,6,4, Schumacher,Williams BMW,1:11.106,6
2004,United States,7,6, Räikkönen,McLaren Mercedes,1:11.137,6
2004,United States,8,17, Panis,Toyota,1:11.167,6
2004,United States,9,8, Alonso,Renault,1:11.185,6
2004,United States,10,14, Webber,Jaguar Cosworth,1:11.286,6
2004,United States,11,16, da Matta,Toyota,1:11.691,6
2004,United States,12,5, Coulthard,McLaren Mercedes,1:12.026,6
2004,United States,13,15, Klien,Jaguar Cosworth,1:12.170,6
2004,United States,14,11, Fisichella,Sauber Petronas,1:12.470,6
2004,United States,15,12, Massa,Sauber Petronas,1:12.721,6
2004,United States,16,18, Heidfeld,Jordan Ford,1:13.147,6
2004,United States,17,19, Pantano,Jordan Ford,1:13.375,6
2004,United States,18,20, Bruni,Minardi Cosworth,1:14.010,6
2004,United States,19,21, Baumgartner,Minardi Cosworth,1:14.812,6
2004,United States,20,7, Trulli,Renault,1:10.559,5
2004,France,1,8, Alonso,Renault,1:13.698,6
2004,France,2,1, Schumacher,Ferrari,1:13.971,6
2004,France,3,5, Coulthard,McLaren Mercedes,1:13.987,6
2004,France,4,9, Button,BAR Honda,1:13.995,6
2004,France,5,7, Trulli,Renault,1:14.070,6
2004,France,6,3, Montoya,Williams BMW,1:14.172,6
2004,France,7,10, Sato,BAR Honda,1:14.240,6
2004,France,8,4, Gene,Williams BMW,1:14.275,6
2004,France,9,6, Räikkönen,McLaren Mercedes,1:14.346,6
2004,France,10,2, Barrichello,Ferrari,1:14.478,3
2004,France,11,16, da Matta,Toyota,1:14.553,6
2004,France,12,14, Webber,Jaguar Cosworth,1:14.798,6
2004,France,13,15, Klien,Jaguar Cosworth,1:15.065,6
2004,France,14,17, Panis,Toyota,1:15.130,6
2004,France,15,11, Fisichella,Sauber Petronas,1:16.177,6
2004,France,16,12, Massa,Sauber Petronas,1:16.200,6
2004,France,17,18, Heidfeld,Jordan Ford,1:16.807,6
2004,France,18,19, Pantano,Jordan Ford,1:17.462,6
2004,France,19,20, Bruni,Minardi Cosworth,1:17.913,6
2004,France,20,21, Baumgartner,Minardi Cosworth,1:18.247,6
2004,Great Britain,1,6, Räikkönen,McLaren Mercedes,1:18.233,6
2004,Great Britain,2,2, Barrichello,Ferrari,1:18.305,6
2004,Great Britain,3,9, Button,BAR Honda,1:18.580,6
2004,Great Britain,4,1, Schumacher,Ferrari,1:18.710,6
2004,Great Britain,5,7, Trulli,Renault,1:18.715,6
2004,Great Britain,6,8, Alonso,Renault,1:18.811,6
2004,Great Britain,7,5, Coulthard,McLaren Mercedes,1:19.148,6
2004,Great Britain,8,3, Montoya,Williams BMW,1:19.378,6
2004,Great Britain,9,10, Sato,BAR Honda,1:19.688,6
2004,Great Britain,10,14, Webber,Jaguar Cosworth,1:20.004,6
2004,Great Britain,11,12, Massa,Sauber Petronas,1:20.202,6
2004,Great Britain,12,4, Gene,Williams BMW,1:20.335,6
2004,Great Britain,13,16, da Matta,Toyota,1:20.545,6
2004,Great Britain,14,15, Klien,Jaguar Cosworth,1:21.559,6
2004,Great Britain,15,19, Pantano,Jordan Ford,1:22.458,6
2004,Great Britain,16,18, Heidfeld,Jordan Ford,1:22.677,5
2004,Great Britain,17,20, Bruni,Minardi Cosworth,1:23.437,6
2004,Great Britain,18,21, Baumgartner,Minardi Cosworth,1:24.117,6
2004,Great Britain,19,17, Panis,Toyota,1:19.697,6
2004,Great Britain,20,11, Fisichella,Sauber Petronas,,2
2004,Germany,1,1, Schumacher,Ferrari,1:13.306,6
2004,Germany,2,3, Montoya,Williams BMW,1:13.668,6
2004,Germany,3,9, Button,BAR Honda,1:13.674,6
2004,Germany,4,6, Räikkönen,McLaren Mercedes,1:13.690,6
2004,Germany,5,5, Coulthard,McLaren Mercedes,1:13.821,6
2004,Germany,6,8, Alonso,Renault,1:13.874,6
2004,Germany,7,7, Trulli,Renault,1:14.134,6
2004,Germany,8,2, Barrichello,Ferrari,1:14.278,6
2004,Germany,9,10, Sato,BAR Honda,1:14.287,6
2004,Germany,10,17, Panis,Toyota,1:14.368,6
2004,Germany,11,4, Pizzonia,Williams BMW,1:14.556,6
2004,Germany,12,14, Webber,Jaguar Cosworth,1:14.802,6
2004,Germany,13,15, Klien,Jaguar Cosworth,1:15.011,6
2004,Germany,14,11, Fisichella,Sauber Petronas,1:15.395,6
2004,Germany,15,16, da Matta,Toyota,1:15.454,6
2004,Germany,16,12, Massa,Sauber Petronas,1:15.616,6
2004,Germany,17,19, Pantano,Jordan Ford,1:16.192,6
2004,Germany,18,18, Heidfeld,Jordan Ford,1:16.310,6
2004,Germany,19,20, Bruni,Minardi Cosworth,1:18.055,6
2004,Germany,20,21, Baumgartner,Minardi Cosworth,1:18.400,6
2004,Hungary,1,1, Schumacher,Ferrari,1:19.146,6
2004,Hungary,2,2, Barrichello,Ferrari,1:19.323,6
2004,Hungary,3,10, Sato,BAR Honda,1:19.693,6
2004,Hungary,4,9, Button,BAR Honda,1:19.700,6
2004,Hungary,5,8, Alonso,Renault,1:19.996,6
2004,Hungary,6,4, Pizzonia,Williams BMW,1:20.170,6
2004,Hungary,7,3, Montoya,Williams BMW,1:20.199,6
2004,Hungary,8,11, Fisichella,Sauber Petronas,1:20.324,6
2004,Hungary,9,7, Trulli,Renault,1:20.411,6
2004,Hungary,10,6, Räikkönen,McLaren Mercedes,1:20.570,6
2004,Hungary,11,14, Webber,Jaguar Cosworth,1:20.730,6
2004,Hungary,12,5, Coulthard,McLaren Mercedes,1:20.897,6
2004,Hungary,13,17, Panis,Toyota,1:21.068,6
2004,Hungary,14,15, Klien,Jaguar Cosworth,1:21.118,6
2004,Hungary,15,16, Zonta,Toyota,1:21.135,6
2004,Hungary,16,18, Heidfeld,Jordan Ford,1:22.180,6
2004,Hungary,17,19, Pantano,Jordan Ford,1:22.356,6
2004,Hungary,18,21, Baumgartner,Minardi Cosworth,1:24.329,6
2004,Hungary,19,20, Bruni,Minardi Cosworth,1:24.679,6
2004,Hungary,20,12, Massa,Sauber Petronas,1:19.658,3
2004,Belgium,1,7, Trulli,Renault,1:56.232,6
2004,Belgium,2,1, Schumacher,Ferrari,1:56.304,6
2004,Belgium,3,8, Alonso,Renault,1:56.686,6
2004,Belgium,4,5, Coulthard,McLaren Mercedes,1:57.990,6
2004,Belgium,5,11, Fisichella,Sauber Petronas,1:58.040,6
2004,Belgium,6,2, Barrichello,Ferrari,1:58.175,6
2004,Belgium,7,14, Webber,Jaguar Cosworth,1:58.729,6
2004,Belgium,8,12, Massa,Sauber Petronas,1:59.008,6
2004,Belgium,9,17, Panis,Toyota,1:59.552,6
2004,Belgium,10,6, Räikkönen,McLaren Mercedes,1:59.635,6
2004,Belgium,11,3, Montoya,Williams BMW,1:59.681,6
2004,Belgium,12,9, Button,BAR Honda,2:00.237,6
2004,Belgium,13,15, Klien,Jaguar Cosworth,2:01.246,6
2004,Belgium,14,4, Pizzonia,Williams BMW,2:01.447,6
2004,Belgium,15,10, Sato,BAR Honda,2:01.813,6
2004,Belgium,16,18, Heidfeld,Jordan Ford,2:02.645,6
2004,Belgium,17,20, Bruni,Minardi Cosworth,2:02.651,6
2004,Belgium,18,21, Baumgartner,Minardi Cosworth,2:03.303,6
2004,Belgium,19,19, Pantano,Jordan Ford,2:03.833,6
2004,Belgium,20,16, Zonta,Toyota,2:03.895,5
2004,Italy,1,2, Barrichello,Ferrari,1:20.089,6
2004,Italy,2,3, Montoya,Williams BMW,1:20.620,6
2004,Italy,3,1, Schumacher,Ferrari,1:20.637,6
2004,Italy,4,8, Alonso,Renault,1:20.645,6
2004,Italy,5,10, Sato,BAR Honda,1:20.715,6
2004,Italy,6,9, Button,BAR Honda,1:20.786,6
2004,Italy,7,6, Räikkönen,McLaren Mercedes,1:20.877,6
2004,Italy,8,4, Pizzonia,Williams BMW,1:20.888,6
2004,Italy,9,7, Trulli,Renault,1:21.027,6
2004,Italy,10,5, Coulthard,McLaren Mercedes,1:21.049,6
2004,Italy,11,16, Zonta,Toyota,1:21.520,6
2004,Italy,12,14, Webber,Jaguar Cosworth,1:21.602,6
2004,Italy,13,17, Panis,Toyota,1:21.841,6
2004,Italy,14,15, Klien,Jaguar Cosworth,1:21.989,6
2004,Italy,15,11, Fisichella,Sauber Petronas,1:22.239,6
2004,Italy,16,12, Massa,Sauber Petronas,1:22.287,6
2004,Italy,17,18, Heidfeld,Jordan Ford,1:22.301,5
2004,Italy,18,19, Pantano,Jordan Ford,1:23.239,6
2004,Italy,19,21, Baumgartner,Minardi Cosworth,1:24.808,6
2004,Italy,20,20, Bruni,Minardi Cosworth,1:24.940,6
2004,China,1,2, Barrichello,Ferrari,1:34.012,6
2004,China,2,6, Räikkönen,McLaren Mercedes,1:34.178,6
2004,China,3,9, Button,BAR Honda,1:34.295,6
2004,China,4,12, Massa,Sauber Petronas,1:34.759,6
2004,China,5,4, Schumacher,Williams BMW,1:34.891,6
2004,China,6,8, Alonso,Renault,1:34.917,6
2004,China,7,11, Fisichella,Sauber Petronas,1:34.951,6
2004,China,8,17, Panis,Toyota,1:34.975,6
2004,China,9,10, Sato,BAR Honda,1:34.993,6
2004,China,10,5, Coulthard,McLaren Mercedes,1:35.029,6
2004,China,11,3, Montoya,Williams BMW,1:35.245,6
2004,China,12,14, Webber,Jaguar Cosworth,1:35.286,6
2004,China,13,7, Villeneuve,Renault,1:35.384,6
2004,China,14,16, Zonta,Toyota,1:35.410,6
